Statistical Period,Global Irradiation (kWh/㎡),Average Temperature(°C),Theoretical Yield (kWh),PV Yield (kWh), Inverter Yield (kWh),Export (kWh),Consumed (kWh),Loss Due to Export Limitation (kWh),Loss Due to Export Limitation(PKR),Revenue (PKR),Device Name
2022-01-01 00:00:00,0.0,12.742,0.0,0.0,0.0,0.24,0.0,0,0,2.784,PC Lahore
2022-01-01 01:00:00,0.0,12.225,0.0,0.0,0.0,0.66,0.0,0,0,7.656,PC Lahore
2022-01-01 02:00:00,0.0,11.842,0.0,0.0,0.0,0.48,0.0,0,0,5.568,PC Lahore
2022-01-01 03:00:00,0.0,10.058,0.0,0.0,0.0,0.89,0.0,0,0,10.324,PC Lahore
2022-01-01 04:00:00,0.0,10.367,0.0,0.0,0.0,0.79,0.0,0,0,9.164,PC Lahore
2022-01-01 05:00:00,0.0,10.342,0.0,0.0,0.0,0.57,0.0,0,0,6.612,PC Lahore
2022-01-01 06:00:00,0.0,10.475,0.0,0.05,0.05,0.2,0.0,0,0,2.32,PC Lahore
2022-01-01 07:00:00,0.034,9.833,11.918,8.76,8.76,8.26,0.5,0,0,95.816,PC Lahore
2022-01-01 08:00:00,0.148,11.65,51.878,37.3,37.3,36.77,0.529999999999994,0,0,426.532,PC Lahore
2022-01-01 09:00:00,0.251,16.642,87.983,66.0,66.0,65.42,0.5799999999999983,0,0,758.872,PC Lahore
2022-01-01 10:00:00,0.322,18.133,112.871,86.48,86.48,85.83,0.6500000000000057,0,0,995.628,PC Lahore
2022-01-01 11:00:00,0.374,18.542,131.098,103.88,103.88,102.89,0.9899999999999949,0,0,1193.524,PC Lahore
2022-01-01 12:00:00,0.473,19.25,165.801,130.39,130.39,129.46,0.9299999999999784,0,0,1501.736,PC Lahore
2022-01-01 13:00:00,0.431,20.258,151.078,111.61,111.61,110.56,1.0499999999999972,0,0,1282.496,PC Lahore
2022-01-01 14:00:00,0.357,20.308,125.139,85.18,85.18,83.97,1.210000000000008,0,0,974.052,PC Lahore
2022-01-01 15:00:00,0.203,19.442,71.158,40.82,40.82,39.48,1.3400000000000034,0,0,457.968,PC Lahore
2022-01-01 16:00:00,0.053,18.275,18.578,9.48,9.48,8.98,0.5,0,0,104.168,PC Lahore
2022-01-01 17:00:00,0.0,16.964,0.0,0.06,0.06,0.02,0.039999999999999994,0,0,0.232,PC Lahore
2022-01-01 18:00:00,0.0,16.192,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-01 19:00:00,0.0,15.242,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-01 20:00:00,0.0,14.942,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-01 21:00:00,0.0,14.308,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-01 22:00:00,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-01 23:00:00,0.0,12.467,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-02 00:00:00,0.0,12.283,0.0,0.0,0.0,0.5,0.0,0,0,5.8,PC Lahore
2022-01-02 01:00:00,0.0,12.092,0.0,0.0,0.0,0.52,0.0,0,0,6.032,PC Lahore
2022-01-02 02:00:00,0.0,12.375,0.0,0.0,0.0,0.54,0.0,0,0,6.264,PC Lahore
2022-01-02 03:00:00,0.0,11.317,0.0,0.0,0.0,0.62,0.0,0,0,7.192,PC Lahore
2022-01-02 04:00:00,0.0,11.025,0.0,0.0,0.0,0.61,0.0,0,0,7.076,PC Lahore
2022-01-02 05:00:00,0.0,10.892,0.0,0.0,0.0,0.61,0.0,0,0,7.076,PC Lahore
2022-01-02 06:00:00,0.0,10.758,0.0,0.08,0.08,0.43,0.0,0,0,4.988,PC Lahore
2022-01-02 07:00:00,0.039,10.55,13.671,10.71,10.71,10.26,0.45000000000000107,0,0,119.016,PC Lahore
2022-01-02 08:00:00,0.108,12.325,37.857,27.55,27.55,27.29,0.26000000000000156,0,0,316.564,PC Lahore
2022-01-02 09:00:00,0.259,15.892,90.787,70.35,70.35,70.72,0.0,0,0,820.352,PC Lahore
2022-01-02 10:00:00,0.387,17.275,135.655,101.88,101.88,101.96,0.0,0,0,1182.736,PC Lahore
2022-01-02 11:00:00,0.501,19.317,175.616,135.07,135.07,135.24,0.0,0,0,1568.784,PC Lahore
2022-01-02 12:00:00,0.515,19.417,180.523,138.05,138.05,137.87,0.18000000000000682,0,0,1599.292,PC Lahore
2022-01-02 13:00:00,0.466,20.258,163.347,116.87,116.87,117.17,0.0,0,0,1359.172,PC Lahore
2022-01-02 14:00:00,0.367,20.092,128.645,83.71,83.71,84.17,0.0,0,0,976.372,PC Lahore
2022-01-02 15:00:00,0.219,19.617,76.766,41.79,41.79,41.58,0.21000000000000085,0,0,482.328,PC Lahore
2022-01-02 16:00:00,0.068,18.525,23.836,13.33,13.33,13.08,0.25,0,0,151.728,PC Lahore
2022-01-02 17:00:00,0.0,17.283,0.0,0.05,0.05,0.38,0.0,0,0,4.408,PC Lahore
2022-01-02 18:00:00,0.0,16.4,0.0,0.0,0.0,0.02,0.0,0,0,0.232,PC Lahore
2022-01-02 19:00:00,0.0,15.367,0.0,0.0,0.0,0.22,0.0,0,0,2.552,PC Lahore
2022-01-02 20:00:00,0.0,14.625,0.0,0.0,0.0,0.28,0.0,0,0,3.248,PC Lahore
2022-01-02 21:00:00,0.0,14.4,0.0,0.0,0.0,0.15,0.0,0,0,1.74,PC Lahore
2022-01-02 22:00:00,0.0,13.967,0.0,0.0,0.0,0.21,0.0,0,0,2.436,PC Lahore
2022-01-02 23:00:00,0.0,13.483,0.0,0.0,0.0,0.45,0.0,0,0,5.22,PC Lahore
2022-01-03 00:00:00,0.0,13.275,0.0,0.0,0.0,0.5,0.0,0,0,5.8,PC Lahore
2022-01-03 01:00:00,0.0,13.117,0.0,0.0,0.0,0.46,0.0,0,0,5.336,PC Lahore
2022-01-03 02:00:00,0.0,12.575,0.0,0.0,0.0,0.38,0.0,0,0,4.408,PC Lahore
2022-01-03 03:00:00,0.0,12.35,0.0,0.0,0.0,0.32,0.0,0,0,3.712,PC Lahore
2022-01-03 04:00:00,0.0,12.142,0.0,0.0,0.0,0.44,0.0,0,0,5.104,PC Lahore
2022-01-03 05:00:00,0.0,11.383,0.0,0.0,0.0,0.11,0.0,0,0,1.276,PC Lahore
2022-01-03 06:00:00,0.0,11.292,0.0,0.04,0.04,0.0,0.04,0,0,0.0,PC Lahore
2022-01-03 07:00:00,0.06,12.067,21.032,13.84,13.84,13.09,0.75,0,0,151.844,PC Lahore
2022-01-03 08:00:00,0.113,14.325,39.61,29.54,29.54,28.17,1.3699999999999974,0,0,326.772,PC Lahore
2022-01-03 09:00:00,0.173,15.092,60.642,45.88,45.88,45.12,0.7600000000000051,0,0,523.392,PC Lahore
2022-01-03 10:00:00,0.191,15.717,66.951,51.79,51.79,51.57,0.21999999999999886,0,0,598.212,PC Lahore
2022-01-03 11:00:00,0.34,16.95,119.18,90.8,90.8,90.99,0.0,0,0,1055.484,PC Lahore
2022-01-03 12:00:00,0.382,18.925,133.902,100.9,100.9,100.83,0.07000000000000739,0,0,1169.628,PC Lahore
2022-01-03 13:00:00,0.344,19.833,120.582,89.36,89.36,89.52,0.0,0,0,1038.432,PC Lahore
2022-01-03 14:00:00,0.179,19.158,62.745,46.61,46.61,46.54,0.07000000000000028,0,0,539.864,PC Lahore
2022-01-03 15:00:00,0.114,18.933,39.96,29.6,29.6,29.54,0.060000000000002274,0,0,342.664,PC Lahore
2022-01-03 16:00:00,0.013,18.058,4.557,3.18,3.18,3.13,0.050000000000000266,0,0,36.308,PC Lahore
2022-01-03 17:00:00,0.0,17.342,0.0,0.01,0.01,0.02,0.0,0,0,0.232,PC Lahore
2022-01-03 18:00:00,0.0,16.675,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-03 19:00:00,0.0,16.475,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-03 20:00:00,0.0,16.358,0.0,0.0,0.0,0.04,0.0,0,0,0.464,PC Lahore
2022-01-03 21:00:00,0.0,16.133,0.0,0.0,0.0,0.16,0.0,0,0,1.856,PC Lahore
2022-01-03 22:00:00,0.0,15.908,0.0,0.0,0.0,0.21,0.0,0,0,2.436,PC Lahore
2022-01-03 23:00:00,0.0,15.475,0.0,0.0,0.0,0.25,0.0,0,0,2.9,PC Lahore
2022-01-04 00:00:00,0.0,14.925,0.0,0.0,0.0,0.59,0.0,0,0,6.844,PC Lahore
2022-01-04 01:00:00,0.0,14.55,0.0,0.0,0.0,0.63,0.0,0,0,7.308,PC Lahore
2022-01-04 02:00:00,0.0,14.217,0.0,0.0,0.0,0.69,0.0,0,0,8.004,PC Lahore
2022-01-04 03:00:00,0.0,13.182,0.0,0.0,0.0,0.74,0.0,0,0,8.584,PC Lahore
2022-01-04 04:00:00,0.0,12.642,0.0,0.0,0.0,1.0,0.0,0,0,11.6,PC Lahore
2022-01-04 05:00:00,0.0,12.475,0.0,0.0,0.0,1.08,0.0,0,0,12.528,PC Lahore
2022-01-04 06:00:00,0.0,12.255,0.0,0.0,0.0,0.59,0.0,0,0,6.844,PC Lahore
2022-01-04 07:00:00,0.014,12.5,4.907,4.57,4.57,4.58,0.0,0,0,53.128,PC Lahore
2022-01-04 08:00:00,0.035,12.708,12.269,11.41,11.41,10.51,0.9000000000000004,0,0,121.916,PC Lahore
2022-01-04 09:00:00,0.072,13.383,25.238,24.64,24.64,23.33,1.3100000000000023,0,0,270.628,PC Lahore
2022-01-04 10:00:00,0.075,14.292,26.29,24.86,24.86,23.96,0.8999999999999986,0,0,277.936,PC Lahore
2022-01-04 11:00:00,0.122,15.583,42.765,40.33,40.33,40.57,0.0,0,0,470.612,PC Lahore
2022-01-04 12:00:00,0.178,16.075,62.394,59.15,59.15,59.54,0.0,0,0,690.664,PC Lahore
2022-01-04 13:00:00,0.194,16.725,68.003,63.15,63.15,63.54,0.0,0,0,737.064,PC Lahore
2022-01-04 14:00:00,0.292,17.158,102.355,86.59,86.59,87.39,0.0,0,0,1013.724,PC Lahore
2022-01-04 15:00:00,0.071,16.783,24.888,22.95,22.95,22.95,0.0,0,0,266.22,PC Lahore
2022-01-04 16:00:00,0.028,15.95,9.815,8.65,8.65,8.83,0.0,0,0,102.428,PC Lahore
2022-01-04 17:00:00,0.0,15.425,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-04 18:00:00,0.0,15.075,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-04 19:00:00,0.0,14.725,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-04 20:00:00,0.0,14.667,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
2022-01-04 21:00:00,0.0,14.258,0.0,0.0,0.0,0.0,0.0,0,0,0.0,PC Lahore
